gebied;specialiteit;totaal;geslacht_vrouw;geslacht_man;vrouw_min25;vrouw_25-29;vrouw_30-34;vrouw_35-39;vrouw_40-44;vrouw_45-49;vrouw_50-54;vrouw_55-59;vrouw_60-64;man_min25;man_25-29;man_30-34;man_35-39;man_40-44;man_45-49;man_50-54;man_55-59;man_60-64;man_65plus
Luxemburg;Alle specialiteiten;74;47;27;8;31;5;2;0;0;1;0;0;3;17;7;0;0;0;0;0;0;0
Luxemburg;Geriatrie;4;2;2;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
Luxemburg;Urgentiegeneeskunde;8;4;4;1;3;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0
Luxemburg;Anesthesie-reanimatie;9;5;4;1;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0
Luxemburg;Heelkunde;6;4;2;1;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Luxemburg;Urologie;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Orthopedische heelkunde;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Luxemburg;Neurologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Psychiatrie, meer bepaald volwassenpsychiatrie;3;3;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Cardiologie;5;1;4;0;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Luxemburg;Inwendige geneeskunde;10;6;4;2;4;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
Luxemburg;Gynaecologie-verloskunde;6;5;1;1;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Luxemburg;Pediatrie;7;6;1;0;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Luxemburg;Fysische geneeskunde en revalidatie;3;1;2;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Luxemburg;Klinische biologie;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Luxemburg;Nucleaire geneeskunde;2;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Luxemburg;Medische oncologie;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Luxemburg;Arbeidsgeneeskunde;5;5;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Alle specialiteiten;1455;818;637;41;533;215;17;6;4;1;1;0;27;375;198;24;6;4;1;1;1;0
Brussels Hoofdstedelijk Gewest;Geriatrie;34;29;5;0;14;13;1;1;0;0;0;0;0;1;3;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urgentiegeneeskunde;130;80;50;1;45;26;6;2;0;0;0;0;1;22;20;5;0;2;0;0;0;0
Brussels Hoofdstedelijk Gewest;Gerechtelijke geneeskunde;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Anesthesie-reanimatie;117;41;76;0;27;14;0;0;0;0;0;0;6;48;21;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Heelkunde;80;42;38;3;28;11;0;0;0;0;0;0;1;24;12;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neurochirurgie;14;5;9;0;3;2;0;0;0;0;0;0;0;3;5;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Plastische, reconstructieve en esthetische heelkunde;13;5;8;0;3;2;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Urologie;34;17;17;1;12;4;0;0;0;0;0;0;0;10;7;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Orthopedische heelkunde;63;15;48;1;5;8;1;0;0;0;0;0;1;30;15;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Neurologie;54;37;17;2;29;6;0;0;0;0;0;0;0;13;4;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald kinder- en jeugdpsychiatrie;30;26;4;2;16;7;1;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Psychiatrie, meer bepaald volwassenpsychiatrie;85;44;41;0;33;11;0;0;0;0;0;0;1;27;11;1;1;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pneumologie;19;11;8;0;7;4;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Gastro-enterologie;28;17;11;0;6;10;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Cardiologie;48;24;24;0;7;17;0;0;0;0;0;0;0;12;11;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Inwendige geneeskunde;178;95;83;15;71;9;0;0;0;0;0;0;9;56;16;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Reumatologie;12;9;3;0;0;9;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Acute geneeskunde;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Gynaecologie-verloskunde;75;64;11;5;45;13;1;0;0;0;0;0;0;5;6;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Oftalmologie;41;12;29;1;9;2;0;0;0;0;0;0;3;19;6;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Otorhinolaryngologie;31;16;15;0;14;2;0;0;0;0;0;0;2;11;2;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Stomatologie;15;5;10;1;2;2;0;0;0;0;0;0;0;7;3;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Dermato-venereologie;36;29;7;2;23;4;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pediatrie;105;89;16;7;65;16;1;0;0;0;0;0;1;13;2;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Fysische geneeskunde en revalidatie;21;10;11;0;8;2;0;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinische biologie;17;8;9;0;7;1;0;0;0;0;0;0;0;5;3;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Röntgendiagnose;81;39;42;0;33;4;2;0;0;0;0;0;2;23;15;2;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Radiotherapie-oncologie;10;5;5;0;4;1;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Nucleaire geneeskunde;16;5;11;0;4;0;1;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Pathologische anatomie;12;9;3;0;6;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Medische oncologie;16;9;7;0;3;6;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Klinische genetica;7;5;2;0;2;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Brussels Hoofdstedelijk Gewest;Arbeidsgeneeskunde;26;13;13;0;1;3;1;2;4;1;1;0;0;2;0;3;4;2;1;0;1;0
Brussels Hoofdstedelijk Gewest;Verzekeringsgeneeskunde en medische expertise;4;1;3;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0
